datetime,symbol,open,high,low,close,volume
2/15/2023 10:00,OANDA:EURUSD,1.07146,1.07148,1.07061,1.07074,419
2/15/2023 10:05,OANDA:EURUSD,1.07074,1.07079,1.07038,1.07062,379
2/15/2023 10:10,OANDA:EURUSD,1.07062,1.07077,1.0705,1.07058,263
2/15/2023 10:15,OANDA:EURUSD,1.07058,1.07066,1.07053,1.07066,258
2/15/2023 10:20,OANDA:EURUSD,1.07066,1.07104,1.07065,1.07103,268
2/15/2023 10:25,OANDA:EURUSD,1.07103,1.07105,1.07052,1.07075,301
2/15/2023 10:30,OANDA:EURUSD,1.07075,1.07126,1.06998,1.07094,1080
2/15/2023 10:35,OANDA:EURUSD,1.07094,1.07128,1.07082,1.07114,747
2/15/2023 10:40,OANDA:EURUSD,1.07114,1.07138,1.07076,1.07126,643
2/15/2023 10:45,OANDA:EURUSD,1.07126,1.07148,1.07111,1.07134,614
2/15/2023 10:50,OANDA:EURUSD,1.07134,1.07148,1.07114,1.07121,563
2/15/2023 10:55,OANDA:EURUSD,1.07121,1.07136,1.07096,1.07106,592
2/15/2023 11:00,OANDA:EURUSD,1.07106,1.07133,1.07052,1.0706,579
2/15/2023 11:05,OANDA:EURUSD,1.0706,1.07108,1.07044,1.07098,640
2/15/2023 11:10,OANDA:EURUSD,1.07098,1.07178,1.07098,1.07177,576
2/15/2023 11:15,OANDA:EURUSD,1.07177,1.07188,1.07146,1.07149,497
2/15/2023 11:20,OANDA:EURUSD,1.07149,1.07162,1.07084,1.07092,452
2/15/2023 11:25,OANDA:EURUSD,1.07092,1.07126,1.07081,1.07082,552
2/15/2023 11:30,OANDA:EURUSD,1.07082,1.07118,1.07048,1.07096,1021
2/15/2023 11:35,OANDA:EURUSD,1.07096,1.0717,1.07092,1.07167,864
2/15/2023 11:40,OANDA:EURUSD,1.07167,1.07172,1.07142,1.07166,708
2/15/2023 11:45,OANDA:EURUSD,1.07166,1.07166,1.07084,1.07111,718
